step,timestamp,action,price,shares,reward,transaction_cost,slippage,time_penalty
0,2023-07-03 08:00:14.385893078,1,194.05,145.0,-0.44602322322317267,0.17959252322317262,0.25,0.0164307
1,2023-07-03 08:00:14.385899379,1,194.05,225.0,-0.44603232322317266,0.17959252322317262,0.25,0.0164398
2,2023-07-03 08:00:15.804687301,1,194.21,108.0,-0.09678801803554471,0.08031621803554471,0.0,0.0164718
3,2023-07-03 08:00:19.671312224,1,194.14,161.0,-0.11675671803555494,0.08031621803554471,0.020000000000010232,0.0164405
4,2023-07-03 08:00:23.368671235,1,194.13,222.0,-0.09675121803554472,0.08031621803554471,0.0,0.016435
5,2023-07-03 08:00:29.849775570,1,194.13,171.0,-0.27044528204301577,0.25398218204301576,0.0,0.0164631
6,2023-07-03 08:00:30.451005195,1,194.02,136.0,-0.2370440180355311,0.08031621803554471,0.13999999999998636,0.0167278
7,2023-07-03 08:00:30.451005195,1,194.01,166.0,-0.19212601820430728,0.025398218204301576,0.15000000000000568,0.0167278
8,2023-07-03 08:00:30.451005195,1,194.01,108.0,-0.42070998204302146,0.25398218204301576,0.15000000000000568,0.0167278
9,2023-07-03 08:00:30.451829005,1,194.0,119.0,-1.5850970309627908,1.4083993309627942,0.1599999999999966,0.0166977
10,2023-07-03 08:00:30.451829005,1,194.0,163.0,-0.22749413640859975,0.05079643640860315,0.1599999999999966,0.0166977
11,2023-07-03 08:00:30.451829005,1,194.0,100.0,-0.23348984241218756,0.056792142412190966,0.1599999999999966,0.0166977
12,2023-07-03 08:00:30.451829005,1,194.0,191.0,-0.27829057281720293,0.1015928728172063,0.1599999999999966,0.0166977
13,2023-07-03 08:00:30.566381995,1,194.09,54.0,-0.16675891803553788,0.08031621803554471,0.06999999999999318,0.0164427
14,2023-07-03 08:00:37.857944791,1,194.12,234.0,-0.09680601803554471,0.08031621803554471,0.0,0.0164898
15,2023-07-03 08:00:42.324101963,1,194.15,100.0,-0.09677331803554472,0.08031621803554471,0.0,0.0164571
16,2023-07-03 08:00:47.317729998,1,194.1,114.0,-0.09678041803554471,0.08031621803554471,0.0,0.0164642
17,2023-07-03 08:00:57.325590403,1,194.1,216.0,-0.06200701820431181,0.025398218204301576,0.020000000000010232,0.0166088
18,2023-07-03 08:00:57.325590403,1,194.1,113.0,-0.06200701820431181,0.025398218204301576,0.020000000000010232,0.0166088
19,2023-07-03 08:00:59.762541862,1,194.12,92.0,-0.19603612322317263,0.17959252322317262,0.0,0.0164436
20,2023-07-03 08:00:59.998480243,1,194.12,107.0,-0.06725763640860315,0.05079643640860315,0.0,0.0164612
21,2023-07-03 08:01:02.030585068,1,194.12,210.0,-0.06040320435157111,0.04399100435157111,0.0,0.0164122
22,2023-07-03 08:01:02.738714506,1,194.12,112.0,-0.23638472175785552,0.21995502175785553,0.0,0.0164297
23,2023-07-03 08:01:02.738812696,1,194.12,89.0,-0.12416761393390358,0.10775551393390358,0.0,0.0164121
24,2023-07-03 08:01:02.738841844,1,194.12,204.0,-0.09672531803554471,0.08031621803554471,0.0,0.0164091
25,2023-07-03 08:01:02.739065129,2,194.12,152.0,-0.23636002175785553,0.21995502175785553,0.0,0.016405
26,2023-07-03 08:01:02.739074592,1,194.12,167.0,-0.09266925461290473,0.07619465461290473,0.0,0.0164746
